,date,Open,High,Low,Close,Volume,up/down,Sentiment,true_value
6066,2004-01-12,-0.033286575871072616,-0.04086136728088775,-0.03396210894029781,-0.035023893292375916,-0.16588640776324334,1,1.1802207610884468,-1
6067,2004-01-13,-0.02790603207399928,-0.03963638148192157,-0.03975945611717874,-0.041089842048030366,-0.1195218698837988,-1,1.156036069121507,1
6068,2004-01-14,-0.03392783248748345,-0.0379495157915419,-0.03363721382705761,-0.03170326577056178,-0.16350596474492882,1,1.1561017479419,1
6069,2004-01-15,-0.024609572280261716,-0.0315635242493906,-0.030266427027189974,-0.03015902257652665,-0.06590780099403272,1,1.250849301117092,1
6070,2004-01-16,-0.023076568181654284,-0.028832408369728342,-0.022641544838332618,-0.02230659640032173,-0.05178744581721238,1,1.227556333847058,-1
6071,2004-01-20,-0.01528129243840856,-0.02571973953628964,-0.019240299121598508,-0.023376464234097668,-0.06417656970798577,-1,1.4231049776061273,1
6072,2004-01-21,-0.016343373709339158,-0.019414074931775396,-0.020032230960121845,-0.014444077131345353,-0.0320405889607395,1,1.3950812112189235,-1
6073,2004-01-22,-0.007475997060531425,-0.018108762195172167,-0.011513887209853664,-0.018158335271246755,-0.06661111370398927,-1,1.421827110692433,-1
6074,2004-01-23,-0.011163222604894291,-0.018309579539265024,-0.01776811813972876,-0.02057058444362858,-0.1382949091418703,-1,1.4425644240817068,1
6075,2004-01-26,-0.013557915281804077,-0.0132188598665121,-0.013554634639894042,-0.006621930233454822,-0.18190029715917755,1,1.4518371670598742,-1
6076,2004-01-27,0.0002892197788200621,-0.013228900733716959,-0.010457978091822856,-0.01804731125076067,-0.07775591510791645,-1,1.3561975747310366,-1
6077,2004-01-28,-0.011053006623948756,-0.019484361002207816,-0.028276444458593338,-0.03376225669594197,0.01362063620874848,-1,1.3315874281250717,1
6078,2004-01-29,-0.026653577745071617,-0.03429464012905263,-0.03245946904156158,-0.028079845465603544,0.05684731738223296,1,1.351962114265956,-1
6079,2004-01-30,-0.02101252344758156,-0.03451553920755476,-0.027027628867076072,-0.03108758711150188,-0.0983683876074128,-1,1.3542176378428956,1
6080,2004-02-02,-0.023998374567744885,-0.0262017011621124,-0.026885487255033588,-0.026919139796884213,-0.1177365376200629,1,1.3247352452144285,1
6081,2004-02-03,-0.019860265464968017,-0.031232175631637313,-0.02337255884312324,-0.026141971653480915,-0.1839020333336693,1,1.2733435376087638,-1
6082,2004-02-04,-0.0190887535983486,-0.032647937907491716,-0.030063367581414764,-0.03574050287915045,-0.09847658956279072,-1,1.2245341700685306,1
6083,2004-02-05,-0.02861742613283022,-0.03752779936894692,-0.030367956750077463,-0.033651232675455875,-0.1353734563466661,1,1.282079801399695,1
6084,2004-02-06,-0.026543361764126083,-0.025860311677154704,-0.02635753269601795,-0.019349320218280473,-0.18352332648984654,1,1.2224385184299593,-1
6085,2004-02-09,-0.012345539491402064,-0.02418348685397966,-0.015372016679581709,-0.02232678258586466,-0.2777131286463377,-1,1.2050856016642342,1
6086,2004-02-10,-0.015301331707671385,-0.02161302484959173,-0.015889818266308368,-0.016543440427811383,-0.22339574704661508,1,1.230419734280469,1
6087,2004-02-11,-0.009560081063866976,-0.009694515477683272,-0.01220428932548928,-0.004209681061072996,-0.06358145895340714,1,1.2075866893059952,-1
6088,2004-02-12,0.0026839124557298468,-0.010829133471807766,-0.0029549315704304885,-0.009912278476954571,-0.19071875652247916,-1,1.1779263194926393,-1
6089,2004-02-13,-0.002977181111023264,-0.011712729785816016,-0.011280368847212207,-0.01627092692298166,-0.2638091773802733,-1,1.1613219323522062,1
6090,2004-02-17,-0.009289550928818622,-0.00960414767284159,-0.00867105496900143,-0.004986849204476295,-0.22739921939559865,1,1.1065753763969728,-1
6091,2004-02-18,0.001912400589110427,-0.011190604691174723,-0.004883996305294627,-0.010204978167327213,-0.2350274572497429,-1,1.102370652745753,-1
6092,2004-02-19,-0.003267750515334445,-0.010015823228231935,-0.0076151458509706215,-0.015009290326547709,-0.13742929349884686,-1,1.1252001214410352,-1
6093,2004-02-20,-0.008037096599890962,-0.018811622899497053,-0.015585229097645668,-0.01798675269413189,-0.1824413069360672,-1,1.0651978794425623,-1
6094,2004-02-23,-0.010992888816160284,-0.021944373467344798,-0.017636129499974798,-0.021135797638830937,-0.23610947680352226,-1,1.2997991615328883,-1
6095,2004-02-24,-0.014119014821163612,-0.0241031599163426,-0.020225137433608074,-0.023053485265410643,-0.14781668121512845,-1,1.2325406437239455,1
6096,2004-02-25,-0.016022745401133746,-0.02340029921201772,-0.015625840986800664,-0.01843084877607647,-0.24676736940824875,1,1.181728703740089,1
6097,2004-02-26,-0.011433752739942646,-0.021402166638294244,-0.015971042044618588,-0.017179305272413976,-0.2342159425844084,1,1.2321058992866618,1
6098,2004-02-27,-0.009299570563450031,-0.01693398073222915,-0.012742396856793436,-0.01714902599409959,-0.14954791250117538,-1,1.1231552199223844,1
6099,2004-03-01,-0.010161259141752164,-0.01114040035515157,-0.009554363558123278,-0.006016344667166385,-0.17297363584049802,1,1.1982171362902054,-1
6100,2004-03-02,0.0008903978567054752,-0.01205411927077394,-0.007148109125687711,-0.01295029940116753,-0.18438894213287,-1,1.1783044350679024,1
6101,2004-03-03,-0.005993091135081058,-0.016170874824676478,-0.010732108343619306,-0.011002332496273436,-0.260941825562758,1,1.1510149091785482,1
6102,2004-03-04,-0.0040593016512166895,-0.013630535421902444,-0.004609866053498176,-0.007126584872028404,-0.2981091972350782,1,1.1591618757095261,1
6103,2004-03-05,-0.0002117619527510016,-0.005336779110869354,-0.005665775171528986,-0.005118059410505537,-0.22647950277488615,1,1.0430725433447483,-1
6104,2004-03-08,0.001782145338901841,-0.008640224421196059,-0.007493310183505405,-0.014867987027747004,-0.30427670869162043,-1,0.9883533824342948,-1
6105,2004-03-09,-0.007896821715050963,-0.02131179883345256,-0.017778271112017508,-0.02154961444246136,-0.17172931335365174,-1,0.9196718999102796,-1
6106,2004-03-10,-0.014529819841051962,-0.02720578788257645,-0.03230717445723035,-0.03839498627804737,-0.09111885659709124,-1,0.869106243510903,-1
6107,2004-03-11,-0.031252590040893896,-0.042759091182564685,-0.049222026290301486,-0.055664268010035496,0.03953500452176358,-1,0.7966130816114039,1
6108,2004-03-12,-0.048396184895255816,-0.048110873402638026,-0.04829810581202442,-0.041745893078176124,-0.23172729761071595,1,0.7438440801347752,-1
6109,2004-03-15,-0.034579108738525925,-0.04817111860586605,-0.051770422334779784,-0.05797558625470246,-0.11697912393241736,-1,0.705428461871051,1
6110,2004-03-16,-0.05069068122585126,-0.055008949172226214,-0.05253189525643664,-0.05170777564361853,-0.17102600064369522,1,0.7685847902450139,1
6111,2004-03-17,-0.044468488119738615,-0.042959908526657535,-0.04431814067483116,-0.038536289576848085,-0.1767607042787257,1,0.6791729816670763,-1
6112,2004-03-18,-0.0313928649257339,-0.04322097107397819,-0.04172913274119788,-0.03997960184316859,-0.2421687863046865,-1,0.6858849861588961,-1
6113,2004-03-19,-0.032825672678027204,-0.04601233215686824,-0.045343590875995717,-0.052636340178594004,-0.19445172398301785,-1,0.70341437711289,-1
6114,2004-03-22,-0.04539029450582945,-0.05900521431967318,-0.06580183003784346,-0.06715020758397011,-0.19721087384515515,-1,0.707568116134078,-1
6115,2004-03-23,-0.059798529105813125,-0.06729897063070625,-0.06374077666322557,-0.06861370603583355,-0.1940189161615061,-1,0.5579729438053818,-1
6116,2004-03-24,-0.061251376127369236,-0.07051204813619127,-0.06821823744256778,-0.07125809634195925,-0.1563646356899852,-1,0.5328911227494334,1
